id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
218,2012,Colombo (RPS),09/21/12,Afghanistan,England,England,Fielding,normal,,England,116 runs,,,Colombo (RPS),,,
219,2012,Hambantota,09/22/12,Sri Lanka,South Africa,South Africa,Fielding,normal,,South Africa,32 runs,,,Hambantota,,,
220,2012,Colombo (RPS),09/22/12,Australia,West Indies,West Indies,Fielding,normal,,Australia,17 runs,,,Colombo (RPS),,,
221,2012,Pallekele,09/23/12,New Zealand,Pakistan,New Zealand,Batting,normal,,Pakistan,13 runs,,,Pallekele,,,
222,2012,Colombo (RPS),09/23/12,England,India,India,Batting,normal,,India,90 runs,,,Colombo (RPS),,,
223,2012,Colombo (RPS),09/24/12,Ireland,West Indies,Ireland,Fielding,no res,,,,,,Colombo (RPS),,,
224,2012,Pallekele,09/25/12,Bangladesh,Pakistan,Pakistan,Fielding,normal,,Pakistan,,8 wickets,,Pallekele,,,
225,2012,Pallekele,09/27/12,Sri Lanka,New Zealand,Sri Lanka,Batting,tie,,,,,,Pallekele,,,
226,2012,Pallekele,09/27/12,England,West Indies,West Indies,Fielding,normal,,West Indies,15 runs,,,Pallekele,,,
227,2012,Colombo (RPS),09/28/12,Pakistan,South Africa,Pakistan,Fielding,normal,,Pakistan,,2 wickets,,Colombo (RPS),,,
228,2012,Colombo (RPS),09/28/12,Australia,India,Australia,Batting,normal,,Australia,,9 wickets,,Colombo (RPS),,,
229,2012,Pallekele,09/29/12,England,New Zealand,England,Fielding,normal,,England,,6 wickets,,Pallekele,,,
230,2012,Pallekele,09/29/12,Sri Lanka,West Indies,Sri Lanka,Batting,normal,,Sri Lanka,,9 wickets,,Pallekele,,,
231,2012,Colombo (RPS),09/30/12,Australia,South Africa,Australia,Fielding,normal,,Australia,,8 wickets,,Colombo (RPS),,,
232,2012,Colombo (RPS),09/30/12,India,Pakistan,India,Fielding,normal,,India,,8 wickets,,Colombo (RPS),,,
233,2012,Pallekele,10/01/12,New Zealand,West Indies,New Zealand,Fielding,tie,,,,,,Pallekele,,,
234,2012,Pallekele,10/01/12,Sri Lanka,England,England,Fielding,normal,,Sri Lanka,19 runs,,,Pallekele,,,
235,2012,Colombo (RPS),10/02/12,Australia,Pakistan,Pakistan,Fielding,normal,,Pakistan,32 runs,,,Colombo (RPS),,,
236,2012,Colombo (RPS),10/02/12,India,South Africa,South Africa,Batting,normal,,India,1 run,,,Colombo (RPS),,,
237,2012,Colombo (RPS),10/04/12,Sri Lanka,Pakistan,Pakistan,Batting,normal,,Sri Lanka,16 runs,,,Colombo (RPS),,,
238,2012,Colombo (RPS),10/05/12,Australia,West Indies,West Indies,Fielding,normal,,West Indies,74 runs,,,Colombo (RPS),,,
239,2012,Colombo (RPS),10/07/12,Sri Lanka,West Indies,West Indies,Fielding,normal,,West Indies,36 runs,,,Colombo (RPS),,,
240,2012,Pallekele,10/30/12,Sri Lanka,New Zealand,New Zealand,Fielding,no res,,,,,,Pallekele,,,
241,2012,Dhaka,12/10/12,Bangladesh,West Indies,West Indies,Batting,normal,,West Indies,18 runs,,,Dhaka,,,
242,2012,Pune,12/20/12,India,England,England,Fielding,normal,,India,,5 wickets,,Pune,,,
243,2012,Durban,12/21/12,South Africa,New Zealand,New Zealand,Fielding,normal,,South Africa,,8 wickets,,Durban,,,
244,2012,Mumbai,12/22/12,India,England,England,Fielding,normal,,England,,6 wickets,,Mumbai,,,
245,2012,East London,12/23/12,South Africa,New Zealand,South Africa,Batting,normal,,New Zealand,,8 wickets,,East London,,,
246,2012,Bengaluru,12/25/12,India,Pakistan,India,Fielding,normal,,Pakistan,,5 wickets,,Bengaluru,,,
247,2012,Port Elizabeth,12/26/12,South Africa,New Zealand,New Zealand,Fielding,normal,,South Africa,33 runs,,,Port Elizabeth,,,
248,2012,Ahmedabad,12/28/12,India,Pakistan,Pakistan,Batting,normal,,India,11 runs,,,Ahmedabad,,,
249,2013,Sydney,01/26/13,Australia,Sri Lanka,Sri Lanka,Fielding,normal,,Sri Lanka,,5 wickets,,Sydney,,,
250,2013,Melbourne,01/28/13,Australia,Sri Lanka,Sri Lanka,Batting,normal,,Sri Lanka,2 runs,,,Melbourne Cricket Ground ,,,
251,2013,Auckland,02/09/13,New Zealand,England,England,Fielding,normal,,England,40 runs,,,Seddon Park,,,
252,2013,Hamilton,02/12/13,New Zealand,England,New Zealand,Batting,normal,,New Zealand,55 runs,,,Hamilton,,,
253,2013,Brisbane,02/13/13,Australia,West Indies,West Indies,Fielding,normal,,West Indies,27 runs,,,Brisbane,,,
254,2013,Wellington,02/15/13,New Zealand,England,England,Fielding,normal,,England,,10 wickets,,Wellington,,,
255,2013,North Sound,03/02/13,West Indies,Zimbabwe,West Indies,Fielding,normal,,West Indies,,8 wickets,,North Sound,,,
256,2013,Centurion,03/03/13,South Africa,Pakistan,Pakistan,Fielding,normal,,Pakistan,95 runs,,,Centurion,,,
257,2013,Sharjah,03/03/13,Afghanistan,Scotland,Afghanistan,Batting,normal,,Afghanistan,27 runs,,,Sharjah,,,
258,2013,North Sound,03/03/13,West Indies,Zimbabwe,West Indies,Fielding,normal,,West Indies,41 runs,,,North Sound,,,
259,2013,Sharjah,03/04/13,Afghanistan,Scotland,Afghanistan,Fielding,normal,,Afghanistan,,7 wickets,,Sharjah,,,
260,2013,ICCA Dubai,03/15/13,Canada,Kenya,Canada,Batting,normal,,Canada,,5 wickets,,ICCA Dubai,,,
261,2013,ICCA Dubai,03/16/13,Canada,Kenya,Kenya,Batting,normal,,Kenya,21 runs,,,ICCA Dubai,,,
262,2013,Pallekele,03/31/13,Sri Lanka,Bangladesh,Sri Lanka,Batting,normal,,Sri Lanka,17 runs,,,Pallekele,,,
263,2013,Windhoek,04/19/13,Kenya,Netherlands,Kenya,Fielding,normal,,Kenya,,5 wickets,,Windhoek,,,
264,2013,Windhoek,04/20/13,Kenya,Netherlands,Kenya,Fielding,normal,,Kenya,,7 wickets,,Windhoek,,,
265,2013,Bulawayo,05/11/13,Zimbabwe,Bangladesh,Zimbabwe,Fielding,normal,,Zimbabwe,6 runs,,,Bulawayo,,,
266,2013,Bulawayo,05/12/13,Zimbabwe,Bangladesh,Bangladesh,Batting,normal,,Bangladesh,34 runs,,,Bulawayo,,,
267,2013,The Oval,06/25/13,England,New Zealand,New Zealand,Fielding,normal,,New Zealand,5 runs,,,The Oval,,,
268,2013,The Oval,06/27/13,England,New Zealand,New Zealand,Fielding,no res,,,,,,The Oval,,,
269,2013,Aberdeen,07/04/13,Scotland,Kenya,Scotland,Fielding,normal,,Scotland,35 runs,,,Aberdeen,,,
270,2013,Aberdeen,07/05/13,Scotland,Kenya,Scotland,Batting,normal,,Scotland,,7 wickets,,Aberdeen,,,
271,2013,Kingstown,07/27/13,West Indies,Pakistan,Pakistan,Batting,normal,,Pakistan,,2 wickets,,Kingstown,,,
272,2013,Kingstown,07/28/13,West Indies,Pakistan,Pakistan,Fielding,normal,,Pakistan,11 runs,,,Kingstown,,,
273,2013,Colombo (RPS),08/02/13,Sri Lanka,South Africa,South Africa,Fielding,normal,,South Africa,12 runs,,,Colombo (RPS),,,
274,2013,Hambantota,08/04/13,Sri Lanka,South Africa,South Africa,Fielding,normal,,South Africa,22 runs,,,Hambantota,,,
275,2013,Hambantota,08/06/13,Sri Lanka,South Africa,Sri Lanka,Batting,normal,,Sri Lanka,,6 wickets,,Hambantota,,,
276,2013,Harare,08/23/13,Zimbabwe,Pakistan,Pakistan,Fielding,normal,,Pakistan,25 runs,,,Harare,,,
277,2013,Harare,08/24/13,Zimbabwe,Pakistan,Pakistan,Fielding,normal,,Pakistan,19 runs,,,Harare,,,
278,2013,Southampton,08/29/13,England,Australia,Australia,Batting,normal,,Australia,39 runs,,,Southampton,,,
279,2013,Chester-le-Street,08/31/13,England,Australia,Australia,Fielding,normal,,England,27 runs,,,Chester-le-Street,,,
280,2013,Sharjah,09/30/13,Afghanistan,Kenya,Kenya,Fielding,normal,,Afghanistan,106 runs,,,Sharjah,,,
281,2013,Rajkot,10/10/13,India,Australia,Australia,Batting,normal,,India,,6 wickets,,Rajkot,,,
282,2013,Sharjah,10/11/13,Afghanistan,Kenya,Kenya,Fielding,normal,,Kenya,34 runs,,,Sharjah,,,
283,2013,Dhaka,11/06/13,Bangladesh,New Zealand,New Zealand,Fielding,normal,,New Zealand,15 runs,,,Dhaka,,,
284,2013,Dubai (DSC),11/13/13,Pakistan,South Africa,Pakistan,Batting,normal,,South Africa,,9 wickets,,Dubai (DSC),,,
285,2013,Sharjah,11/15/13,Afghanistan,Netherlands,Afghanistan,Fielding,normal,,Netherlands,,7 wickets,,Sharjah,,,
286,2013,Dubai (DSC),11/15/13,Pakistan,South Africa,Pakistan,Fielding,normal,,South Africa,6 runs,,,Dubai (DSC),,,
287,2013,Sharjah,11/16/13,Afghanistan,Scotland,Afghanistan,Batting,normal,,Afghanistan,17 runs,,,Sharjah,,,
288,2013,Abu Dhabi,11/16/13,Canada,Ireland,Canada,Fielding,normal,,Ireland,2 runs,,,Abu Dhabi,,,
289,2013,ICCA Dubai,11/19/13,Kenya,Scotland,Kenya,Batting,normal,,Kenya,92 runs,,,ICCA Dubai,,,
290,2013,Johannesburg,11/20/13,South Africa,Pakistan,South Africa,Fielding,normal,,South Africa,4 runs,,,Imperial Wanderer Stadium,,,
291,2013,Pallekele,11/21/13,Sri Lanka,New Zealand,New Zealand,Batting,normal,,Sri Lanka,,8 wickets,,Pallekele,,,
292,2013,ICCA Dubai,11/22/13,Netherlands,Scotland,Netherlands,Fielding,normal,,Scotland,15 runs,,,ICCA Dubai,,,
293,2013,Cape Town,11/22/13,South Africa,Pakistan,South Africa,Batting,normal,,Pakistan,6 runs,,,Cape Town,,,
294,2013,ICCA Dubai,11/23/13,Kenya,Netherlands,Kenya,Fielding,normal,,Netherlands,29 runs,,,ICCA Dubai,,,
295,2013,Sharjah,11/24/13,Afghanistan,Kenya,Afghanistan,Fielding,normal,,Afghanistan,34 runs,,,Sharjah,,,
296,2013,Sharjah,11/26/13,Canada,Kenya,Canada,Batting,normal,,Kenya,21 runs,,,Sharjah,,,
297,2013,Abu Dhabi,11/28/13,Netherlands,Scotland,Netherlands,Fielding,normal,,Netherlands,,8 wickets,,Abu Dhabi,,,
298,2013,Abu Dhabi,11/30/13,Afghanistan,Ireland,Afghanistan,Batting,normal,,Ireland,68 runs,,,Abu Dhabi,,,
299,2013,Sharjah,12/08/13,Afghanistan,Pakistan,Afghanistan,Batting,normal,,Pakistan,,6 wickets,,Sharjah,,,
300,2013,Dubai (DSC),12/11/13,Pakistan,Sri Lanka,Pakistan,Fielding,normal,,Pakistan,,3 wickets,,Dubai (DSC),,,
301,2013,Dubai (DSC),12/13/13,Pakistan,Sri Lanka,Pakistan,Batting,normal,,Sri Lanka,24 runs,,,Dubai (DSC),,,
302,2014,Auckland,01/11/14,New Zealand,West Indies,New Zealand,Fielding,normal,,New Zealand,81 runs,,,Seddon Park,,,
303,2014,Wellington,01/15/14,New Zealand,West Indies,New Zealand,Fielding,normal,,New Zealand,,4 wickets,,Wellington,,,
304,2014,Hobart,01/29/14,Australia,England,Australia,Batting,normal,,Australia,13 runs,,,Hobart,,,
305,2014,Melbourne,01/31/14,Australia,England,Australia,Fielding,normal,,Australia,,8 wickets,,Melbourne Cricket Ground ,,,
306,2014,Sydney,02/02/14,Australia,England,Australia,Fielding,normal,,Australia,84 runs,,,Sydney,,,
307,2014,Chattogram,02/12/14,Bangladesh,Sri Lanka,Bangladesh,Batting,normal,,Sri Lanka,2 runs,,,Chattogram,,,
308,2014,Chattogram,02/14/14,Bangladesh,Sri Lanka,Bangladesh,Batting,normal,,Sri Lanka,,3 wickets,,Chattogram,,,
309,2014,Kingston,02/19/14,West Indies,Ireland,West Indies,Fielding,normal,,Ireland,,6 wickets,,Kingston,,,
310,2014,Kingston,02/21/14,West Indies,Ireland,West Indies,Fielding,normal,,West Indies,11 runs,,,Kingston,,,
311,2014,Bridgetown,03/09/14,West Indies,England,West Indies,Fielding,normal,,West Indies,27 runs,,,Bridgetown,,,
312,2014,Bridgetown,03/11/14,West Indies,England,West Indies,Batting,normal,,West Indies,,5 wickets,,Bridgetown,,,
313,2014,Durban,03/12/14,South Africa,Australia,South Africa,Batting,normal,,Australia,,5 wickets,,Durban,,,
314,2014,Bridgetown,03/13/14,West Indies,England,West Indies,Fielding,normal,,England,5 runs,,,Bridgetown,,,
315,2014,Centurion,03/14/14,South Africa,Australia,South Africa,Batting,normal,,Australia,,6 wickets,,Centurion,,,
316,2014,Dhaka,03/16/14,Bangladesh,Afghanistan,Bangladesh,Fielding,normal,,Bangladesh,,9 wickets,,Dhaka,,,
317,2014,Chattogram,03/16/14,Hong Kong,Nepal,Hong Kong,Fielding,normal,,Nepal,80 runs,,,Chattogram,,,
318,2014,Sylhet,03/17/14,Ireland,Zimbabwe,Ireland,Batting,normal,,Ireland,,3 wickets,,Sylhet,,,
319,2014,Sylhet,03/17/14,Netherlands,U.A.E.,Netherlands,Fielding,normal,,Netherlands,,6 wickets,,Sylhet,,,
320,2014,Chattogram,03/18/14,Afghanistan,Hong Kong,Afghanistan,Batting,normal,,Afghanistan,,7 wickets,,Chattogram,,,
321,2014,Chattogram,03/18/14,Bangladesh,Nepal,Bangladesh,Fielding,normal,,Bangladesh,,8 wickets,,Chattogram,,,
322,2014,Sylhet,03/19/14,Netherlands,Zimbabwe,Netherlands,Batting,normal,,Zimbabwe,,5 wickets,,Sylhet,,,
323,2014,Sylhet,03/19/14,Ireland,U.A.E.,Ireland,Fielding,normal,,Ireland,21 runs,,,Sylhet,,,
324,2014,Chattogram,03/20/14,Afghanistan,Nepal,Afghanistan,Batting,normal,,Nepal,9 runs,,,Chattogram,,,
325,2014,Chattogram,03/20/14,Bangladesh,Hong Kong,Bangladesh,Batting,normal,,Hong Kong,,2 wickets,,Chattogram,,,
326,2014,Sylhet,03/21/14,U.A.E.,Zimbabwe,U.A.E.,Batting,normal,,Zimbabwe,,5 wickets,,Sylhet,,,
327,2014,Sylhet,03/21/14,Ireland,Netherlands,Ireland,Fielding,normal,,Netherlands,,6 wickets,,Sylhet,,,
328,2014,Dhaka,03/21/14,India,Pakistan,India,Fielding,normal,,India,,7 wickets,,Dhaka,,,
329,2014,Chattogram,03/22/14,South Africa,Sri Lanka,South Africa,Fielding,normal,,Sri Lanka,5 runs,,,Chattogram,,,
330,2014,Chattogram,03/22/14,England,New Zealand,New Zealand,Fielding,normal,,New Zealand,9 runs,,,Chattogram,,,
331,2014,Dhaka,03/23/14,Australia,Pakistan,Australia,Fielding,normal,,Pakistan,16 runs,,,Dhaka,,,
332,2014,Dhaka,03/23/14,India,West Indies,India,Fielding,normal,,India,,7 wickets,,Dhaka,,,
333,2014,Chattogram,03/24/14,New Zealand,South Africa,New Zealand,Fielding,normal,,South Africa,2 runs,,,Chattogram,,,
334,2014,Chattogram,03/24/14,Netherlands,Sri Lanka,Netherlands,Batting,normal,,Sri Lanka,,9 wickets,,Chattogram,,,
335,2014,Dhaka,03/25/14,Bangladesh,West Indies,Bangladesh,Fielding,normal,,West Indies,73 runs,73 runs,,Dhaka,,,
336,2014,Chattogram,03/27/14,Netherlands,South Africa,Netherlands,Batting,normal,,South Africa,6 runs,,,Chattogram,,,
337,2014,Chattogram,03/27/14,England,Sri Lanka,England,Fielding,normal,,England,,6 wickets,,Chattogram,,,
338,2014,Dhaka,03/28/14,Australia,West Indies,Australia,Fielding,normal,,West Indies,,6 wickets,,Dhaka,,,
339,2014,Dhaka,03/28/14,Bangladesh,India,Bangladesh,Batting,normal,,India,,8 wickets,,Dhaka,,,
340,2014,Chattogram,03/29/14,Netherlands,New Zealand,Netherlands,Fielding,normal,,New Zealand,,6 wickets,,Chattogram,,,
341,2014,Chattogram,03/29/14,England,South Africa,England,Fielding,normal,,South Africa,3 runs,,,Chattogram,,,
342,2014,Dhaka,03/30/14,Bangladesh,Pakistan,Bangladesh,Fielding,normal,,Pakistan,50 runs,,,Dhaka,,,
343,2014,Dhaka,03/30/14,Australia,India,Australia,Fielding,normal,,India,73 runs,,,Dhaka,,,
344,2014,Chattogram,03/31/14,England,Netherlands,England,Batting,normal,,Netherlands,45 runs,,,Chattogram,,,
345,2014,Chattogram,03/31/14,New Zealand,Sri Lanka,New Zealand,Fielding,normal,,Sri Lanka,59 runs,,,Chattogram,,,
346,2014,Dhaka,04/01/14,Bangladesh,Australia,Bangladesh,Fielding,normal,,Australia,,7 wickets,,Dhaka,,,
347,2014,Dhaka,04/01/14,Pakistan,West Indies,Pakistan,Fielding,normal,,West Indies,84 runs,,,Dhaka,,,
348,2014,Dhaka,04/03/14,Sri Lanka,West Indies,Sri Lanka,Batting,normal,,Sri Lanka,27 runs,,,Dhaka,,,
349,2014,Dhaka,04/04/14,India,South Africa,South Africa,Fielding,normal,,India,,6 wickets,,Dhaka,,,
350,2014,Dhaka,04/06/14,India,Sri Lanka,Sri Lanka,Fielding,normal,,Sri Lanka,,6 wickets,,Dhaka,,,
351,2014,The Oval,05/20/14,England,Sri Lanka,Sri Lanka,Fielding,normal,,Sri Lanka,9 runs,,,The Oval,,,
352,2014,Roseau,07/05/14,West Indies,New Zealand,New Zealand,Batting,normal,,New Zealand,12 runs,,,Roseau,,,
353,2014,Roseau,07/06/14,West Indies,New Zealand,New Zealand,Fielding,normal,,West Indies,39 runs,,,Roseau,,,
354,2014,Basseterre,08/27/14,West Indies,Bangladesh,Bangladesh,Fielding,no res,,,,,,Basseterre,,,
355,2014,Birmingham,09/07/14,England,India,England,Batting,normal,,England,3 runs,,,Birmingham,,,
356,2014,Dubai (DSC),10/05/14,Australia,Pakistan,Australia,Fielding,normal,,Australia,,6 wickets,,Dubai (DSC),,,
357,2014,Adelaide,11/05/14,Australia,South Africa,South Africa,Fielding,normal,,South Africa,,7 wickets,,Adelaide,,,
358,2014,Melbourne,11/07/14,Australia,South Africa,Australia,Fielding,normal,,Australia,,7 wickets,,Melbourne Cricket Ground ,,,
359,2014,Sydney,11/09/14,Australia,South Africa,Australia,Fielding,normal,,Australia,,2 wickets,,Sydney,,,
360,2014,Colombo (PSS),11/24/14,Hong Kong,Nepal,Hong Kong,Batting,normal,,Hong Kong,,2 wickets,,Colombo (PSS),,,
361,2014,Dubai (DSC),12/04/14,New Zealand,Pakistan,New Zealand,Batting,normal,,Pakistan,,7 wickets,,Dubai (DSC),,,
362,2014,Dubai (DSC),12/05/14,New Zealand,Pakistan,Pakistan,Fielding,normal,,New Zealand,17 runs,,,Dubai (DSC),,,
363,2015,Cape Town,01/09/15,South Africa,West Indies,West Indies,Fielding,normal,,West Indies,,4 wickets,,Cape Town,,,
364,2015,Johannesburg,01/11/15,South Africa,West Indies,West Indies,Fielding,normal,,West Indies,,4 wickets,,Imperial Wanderer Stadium,,,
365,2015,Durban,01/14/15,South Africa,West Indies,South Africa,Fielding,normal,,South Africa,69 runs,,,Durban,,,
366,2015,Dhaka,04/24/15,Bangladesh,Pakistan,Bangladesh,Fielding,normal,,Bangladesh,,7 wickets,,Dhaka,,,
367,2015,Lahore,05/22/15,Pakistan,Zimbabwe,Pakistan,Fielding,normal,,Pakistan,,5 wickets,,Gaddafi stadium,,,
368,2015,Lahore,05/24/15,Pakistan,Zimbabwe,Pakistan,Fielding,normal,,Pakistan,,2 wickets,,Gaddafi stadium,,,
369,2015,Bready,06/18/15,Ireland,Scotland,Scotland,Batting,normal,,Scotland,,6 wickets,,Bready,,,
370,2015,Bready,06/19/15,Ireland,Scotland,Ireland,Batting,no res,,,,,,Bready,,,
371,2015,Bready,06/20/15,Ireland,Scotland,Scotland,Fielding,normal,,Scotland,,6 wickets,,Bready,,,
372,2015,Bready,06/21/15,Ireland,Scotland,Ireland,Fielding,no res,,,,,,Bready,,,
373,2015,Manchester,06/23/15,England,New Zealand,England,Fielding,normal,,England,56 runs,,,Old Trafford ,,,
374,2015,Amstelveen,06/30/15,Netherlands,Nepal,Netherlands,Fielding,normal,,Netherlands,18 runs,,,Amstelveen,,,
375,2015,Amstelveen,07/01/15,Netherlands,Nepal,Netherlands,Fielding,normal,,Netherlands,103 runs,,,Amstelveen,,,
376,2015,Rotterdam,07/02/15,Netherlands,Nepal,Netherlands,Batting,normal,,Netherlands,18 runs,,,Rotterdam,,,
377,2015,Rotterdam,07/03/15,Netherlands,Nepal,Nepal,Fielding,normal,,Nepal,,3 wickets,,Rotterdam,,,
378,2015,Dhaka,07/05/15,Bangladesh,South Africa,South Africa,Fielding,normal,,South Africa,52 runs,,,Dhaka,,,
379,2015,Dhaka,07/07/15,Bangladesh,South Africa,South Africa,Fielding,normal,,South Africa,31 runs,,,Dhaka,,,
380,2015,Edinburgh,07/09/15,Scotland,U.A.E.,Scotland,Batting,normal,,Scotland,,9 wickets,,Edinburgh,,,
381,2015,Edinburgh,07/09/15,Afghanistan,Netherlands,Afghanistan,Batting,normal,,Afghanistan,32 runs,,,Edinburgh,,,
382,2015,Edinburgh,07/10/15,Afghanistan,U.A.E.,Afghanistan,Fielding,normal,,Afghanistan,,8 wickets,,Edinburgh,,,
383,2015,Edinburgh,07/11/15,Scotland,Netherlands,Netherlands,Fielding,normal,,Netherlands,32 runs,,,Edinburgh,,,
384,2015,Edinburgh,07/12/15,Netherlands,U.A.E.,Netherlands,Fielding,normal,,Netherlands,,7 wickets,,Edinburgh,,,
385,2015,Edinburgh,07/12/15,Scotland,Afghanistan,Afghanistan,Fielding,normal,,Afghanistan,37 runs,,,Edinburgh,,,
386,2015,Belfast,07/13/15,Ireland,Nepal,Ireland,Fielding,normal,,Ireland,,8 wickets,,Belfast,,,
387,2015,Belfast,07/15/15,Ireland,P.N.G.,P.N.G.,Batting,normal,,P.N.G.,,2 wickets,,Belfast,,,
388,2015,Belfast,07/15/15,Hong Kong,Nepal,Hong Kong,Fielding,normal,,Hong Kong,,5 wickets,,Belfast,,,
389,2015,Dublin (Malahide),07/17/15,Nepal,P.N.G.,P.N.G.,Batting,normal,,P.N.G.,,8 wickets,,Dublin (Malahide),,,
390,2015,Harare,07/17/15,Zimbabwe,India,India,Batting,normal,,India,54 runs,,,Harare,,,
391,2015,Dublin (Malahide),07/17/15,Ireland,Hong Kong,Hong Kong,Fielding,normal,,Hong Kong,5 runs,,,Dublin (Malahide),,,
392,2015,Harare,07/19/15,Zimbabwe,India,Zimbabwe,Fielding,normal,,Zimbabwe,10 runs,,,Harare,,,
393,2015,Dublin (Malahide),07/21/15,Afghanistan,Hong Kong,Hong Kong,Fielding,normal,,Hong Kong,,5 wickets,,Dublin (Malahide),,,
394,2015,Dublin (Malahide),07/23/15,Afghanistan,P.N.G.,Afghanistan,Batting,normal,,Afghanistan,,6 wickets,,Dublin (Malahide),,,
395,2015,Dublin (Malahide),07/25/15,Hong Kong,Scotland,Scotland,Fielding,normal,,Scotland,,5 wickets,,Dublin (Malahide),,,
396,2015,Dublin,07/25/15,Afghanistan,Oman,Afghanistan,Fielding,normal,,Afghanistan,,5 wickets,,Dublin,,,
397,2015,Dublin (Malahide),07/25/15,Ireland,Netherlands,Netherlands,Batting,normal,,Netherlands,,5 wickets,,Dublin (Malahide),,,
398,2015,Colombo (RPS),07/30/15,Sri Lanka,Pakistan,Pakistan,Fielding,normal,,Pakistan,29 runs,,,Colombo (RPS),,,
399,2015,Colombo (RPS),08/01/15,Sri Lanka,Pakistan,Pakistan,Fielding,normal,,Pakistan,,1 wicket,,Colombo (RPS),,,
400,2015,Harare,08/09/15,Zimbabwe,New Zealand,New Zealand,Batting,normal,,New Zealand,80 runs,,,Harare,,,
401,2015,Durban,08/14/15,South Africa,New Zealand,South Africa,Fielding,normal,,South Africa,,6 wickets,,Durban,,,
402,2015,Centurion,08/16/15,South Africa,New Zealand,New Zealand,Fielding,normal,,New Zealand,32 runs,,,Centurion,,,
403,2015,Cardiff,08/31/15,England,Australia,England,Batting,normal,,England,5 runs,,,Cardiff,,,
404,2015,Harare,09/27/15,Zimbabwe,Pakistan,Pakistan,Fielding,normal,,Pakistan,13 runs,,,Harare,,,
405,2015,Harare,09/29/15,Zimbabwe,Pakistan,Pakistan,Fielding,normal,,Pakistan,15 runs,,,Harare,,,
406,2015,Dharamsala,10/02/15,India,South Africa,South Africa,Fielding,normal,,South Africa,,7 wickets,,Dharamsala,,,
407,2015,Cuttack,10/05/15,India,South Africa,South Africa,Batting,normal,,South Africa,,6 wickets,,Cuttack,,,
408,2015,Bulawayo,10/26/15,Zimbabwe,Afghanistan,Afghanistan,Batting,normal,,Afghanistan,,6 wickets,,Bulawayo,,,
409,2015,Bulawayo,10/28/15,Zimbabwe,Afghanistan,Afghanistan,Fielding,normal,,Afghanistan,,5 wickets,,Bulawayo,,,
410,2015,Pallekele,11/09/15,Sri Lanka,West Indies,Sri Lanka,Batting,normal,,Sri Lanka,30 runs,,,Pallekele,,,
411,2015,Colombo (RPS),11/11/15,Sri Lanka,West Indies,West Indies,Fielding,normal,,West Indies,23 runs,,,Colombo (RPS),,,
412,2015,Dhaka,11/13/15,Bangladesh,Zimbabwe,Bangladesh,Fielding,normal,,Bangladesh,,4 wickets,,Dhaka,,,
413,2015,Dhaka,11/15/15,Bangladesh,Zimbabwe,Zimbabwe,Batting,normal,,Zimbabwe,,3 wickets,,Dhaka,,,
414,2015,Abu Dhabi,11/21/15,Hong Kong,Oman,Oman,Fielding,normal,,Oman,,6 wickets,,Abu Dhabi,,,
415,2015,Abu Dhabi,11/22/15,U.A.E.,Oman,U.A.E.,Fielding,normal,,U.A.E.,,7 wickets,,Abu Dhabi,,,
416,2015,Abu Dhabi,11/25/15,Hong Kong,Oman,Oman,Batting,normal,,Oman,4 runs,,,Abu Dhabi,,,
417,2015,Abu Dhabi,11/26/15,Hong Kong,Oman,Hong Kong,Fielding,normal,,Hong Kong,,8 wickets,,Abu Dhabi,,,
418,2015,Dubai (DSC),11/26/15,England,Pakistan,England,Fielding,normal,,England,14 runs,,,Dubai (DSC),,,
419,2015,Dubai (DSC),11/27/15,England,Pakistan,England,Fielding,normal,,England,3 runs,,,Dubai (DSC),,,
420,2015,Abu Dhabi,11/28/15,Afghanistan,Hong Kong,Hong Kong,Fielding,normal,,Hong Kong,,4 wickets,,Abu Dhabi,,,
421,2015,Abu Dhabi,11/29/15,Afghanistan,Oman,Afghanistan,Fielding,normal,,Afghanistan,27 runs,,,Abu Dhabi,,,
422,2015,Abu Dhabi,11/30/15,Afghanistan,Oman,Oman,Fielding,normal,,Afghanistan,12 runs,,,Abu Dhabi,,,
423,2015,Sharjah,11/30/15,England,Pakistan,Pakistan,Batting,tie,,,,,,Sharjah,,,
424,2016,Mount Maunganui,01/07/16,New Zealand,Sri Lanka,Sri Lanka,Batting,normal,,New Zealand,3 runs,,,Mount Maunganui,,,
425,2016,Sharjah,01/08/16,Afghanistan,Zimbabwe,Zimbabwe,Fielding,normal,,Afghanistan,5 runs,,,Sharjah,,,
426,2016,Auckland,01/10/16,New Zealand,Sri Lanka,Sri Lanka,Fielding,normal,,New Zealand,,9 wickets,,Oval,,,
427,2016,Sharjah,01/10/16,Afghanistan,Zimbabwe,Zimbabwe,Fielding,normal,,Afghanistan,81 runs,,,Sharjah,,,
428,2016,Auckland,01/15/16,New Zealand,Pakistan,Pakistan,Batting,normal,,Pakistan,16 runs,,,Seddon Park,,,
429,2016,Khulna,01/15/16,Bangladesh,Zimbabwe,Zimbabwe,Fielding,normal,,Bangladesh,,4 wickets,,Khulna,,,
430,2016,Hamilton,01/17/16,New Zealand,Pakistan,Pakistan,Fielding,normal,,New Zealand,,10 wickets,,Hamilton,,,
